duration_group,Severity,description_group,row_count
D1_0_30,1,T1_short,1
D1_0_30,1,T2_medium,1
D1_0_30,1,T3_long,1
D1_0_30,1,T4_very_long,0
D1_0_30,2,T1_short,28
D1_0_30,2,T2_medium,16
D1_0_30,2,T3_long,2
D1_0_30,2,T4_very_long,0
D1_0_30,3,T1_short,5
D1_0_30,3,T2_medium,15
D1_0_30,3,T3_long,1
D1_0_30,3,T4_very_long,0
D1_0_30,4,T1_short,1
D1_0_30,4,T2_medium,1
D1_0_30,4,T3_long,1
D1_0_30,4,T4_very_long,0
D2_31_60,1,T1_short,1
D2_31_60,1,T2_medium,1
D2_31_60,1,T3_long,1
D2_31_60,1,T4_very_long,0
D2_31_60,2,T1_short,26
D2_31_60,2,T2_medium,15
D2_31_60,2,T3_long,1
D2_31_60,2,T4_very_long,1
D2_31_60,3,T1_short,4
D2_31_60,3,T2_medium,13
D2_31_60,3,T3_long,0
D2_31_60,3,T4_very_long,0
D2_31_60,4,T1_short,1
D2_31_60,4,T2_medium,0
D2_31_60,4,T3_long,1
D2_31_60,4,T4_very_long,0
D3_61_120,1,T1_short,1
D3_61_120,1,T2_medium,1
D3_61_120,1,T3_long,1
D3_61_120,1,T4_very_long,0
D3_61_120,2,T1_short,31
D3_61_120,2,T2_medium,23
D3_61_120,2,T3_long,3
D3_61_120,2,T4_very_long,1
D3_61_120,3,T1_short,1
D3_61_120,3,T2_medium,7
D3_61_120,3,T3_long,1
D3_61_120,3,T4_very_long,0
D3_61_120,4,T1_short,1
D3_61_120,4,T2_medium,1
D3_61_120,4,T3_long,1
D3_61_120,4,T4_very_long,1
D4_121_360,1,T1_short,0
D4_121_360,1,T2_medium,1
D4_121_360,1,T3_long,0
D4_121_360,1,T4_very_long,0
D4_121_360,2,T1_short,26
D4_121_360,2,T2_medium,24
D4_121_360,2,T3_long,5
D4_121_360,2,T4_very_long,1
D4_121_360,3,T1_short,3
D4_121_360,3,T2_medium,2
D4_121_360,3,T3_long,1
D4_121_360,3,T4_very_long,0
D4_121_360,4,T1_short,1
D4_121_360,4,T2_medium,2
D4_121_360,4,T3_long,0
D4_121_360,4,T4_very_long,1
D5_361_1440,1,T1_short,1
D5_361_1440,1,T2_medium,0
D5_361_1440,1,T3_long,0
D5_361_1440,1,T4_very_long,0
D5_361_1440,2,T1_short,1
D5_361_1440,2,T2_medium,4
D5_361_1440,2,T3_long,1
D5_361_1440,2,T4_very_long,1
D5_361_1440,3,T1_short,1
D5_361_1440,3,T2_medium,1
D5_361_1440,3,T3_long,1
D5_361_1440,3,T4_very_long,0
D5_361_1440,4,T1_short,0
D5_361_1440,4,T2_medium,1
D5_361_1440,4,T3_long,1
D5_361_1440,4,T4_very_long,1
D6_over_1440,1,T1_short,0
D6_over_1440,1,T2_medium,0
D6_over_1440,1,T3_long,0
D6_over_1440,1,T4_very_long,0
D6_over_1440,2,T1_short,1
D6_over_1440,2,T2_medium,1
D6_over_1440,2,T3_long,1
D6_over_1440,2,T4_very_long,0
D6_over_1440,3,T1_short,1
D6_over_1440,3,T2_medium,1
D6_over_1440,3,T3_long,0
D6_over_1440,3,T4_very_long,0
D6_over_1440,4,T1_short,1
D6_over_1440,4,T2_medium,1
D6_over_1440,4,T3_long,0
D6_over_1440,4,T4_very_long,0
