iter	MultiQuantile:alpha=0.1,0.5,0.9
0	0.299105919
1	0.2843459731
2	0.272920452
3	0.2607884355
4	0.2491132188
5	0.2387583242
6	0.2298347948
7	0.2205912606
8	0.2130903901
9	0.2075819298
10	0.2015292531
11	0.196664909
12	0.1934630281
13	0.1890214731
14	0.1849146704
15	0.1822508282
16	0.17869412
17	0.1751716254
18	0.1725030184
19	0.1705097586
20	0.168355666
21	0.1673328606
22	0.1654926118
23	0.1634124582
24	0.1621255459
25	0.160630317
26	0.1593987426
27	0.1582607893
28	0.1573605274
29	0.1563562938
30	0.1548046648
31	0.1535468715
32	0.1522741453
33	0.151153343
34	0.150306633
35	0.14959377
36	0.1486744844
37	0.1479590555
38	0.1473276881
39	0.1463689313
40	0.1453845774
41	0.1446693435
42	0.1438407785
43	0.1430461653
44	0.1424545821
45	0.1417599192
46	0.1413372073
47	0.1406554546
48	0.140143932
49	0.1395392912
50	0.1391978892
51	0.1384892828
52	0.1380644868
53	0.137507786
54	0.1370361048
55	0.136378075
56	0.1357787431
57	0.1352110789
58	0.1347373634
59	0.1341435359
60	0.1332931592
61	0.1327587707
62	0.1321957458
63	0.1319220506
64	0.1316308849
65	0.1313018238
66	0.1308566542
67	0.1303776404
68	0.1300846382
69	0.1297553078
70	0.1293880281
71	0.1289497907
72	0.1284364125
73	0.1282231042
74	0.1278574521
75	0.1275865088
76	0.1274231933
77	0.12679798
78	0.126565156
79	0.1263212273
80	0.1261772706
81	0.1258233574
82	0.1247636329
83	0.1243975361
84	0.1242960871
85	0.1234823226
86	0.1232748541
87	0.1227976678
88	0.1226661595
89	0.1225997048
90	0.1224596465
91	0.122225467
92	0.1221563895
93	0.1220540717
94	0.1219864927
95	0.1218821887
96	0.1218065524
97	0.1216631851
98	0.1215486619
99	0.1214553043
100	0.1213210022
101	0.1211613147
102	0.1210904395
103	0.1210288421
104	0.1209114941
105	0.1208496853
106	0.1207928089
107	0.1206949816
108	0.1206221308
109	0.1204978663
110	0.1204312824
111	0.120402847
112	0.1203110669
113	0.1202021062
114	0.1201215188
115	0.119907129
116	0.1198055851
117	0.1197394708
118	0.1196282096
119	0.1193956204
120	0.1193208606
121	0.1192503196
122	0.1191693651
123	0.1190924766
124	0.1189907967
125	0.118838233
126	0.1187862983
127	0.1186825315
128	0.1186303559
129	0.118424505
130	0.1183687289
131	0.1182559505
