iter	Passed	Remaining
0	183	73135
1	335	66835
2	483	63972
3	629	62339
4	779	61551
5	934	61362
6	1082	60755
7	1232	60396
8	1378	59873
9	1526	59535
10	1674	59201
11	1823	58962
12	1970	58650
13	2119	58431
14	2265	58154
15	2413	57926
16	2560	57687
17	2710	57527
18	2860	57358
19	3037	57706
20	3186	57512
21	3333	57276
22	3481	57059
23	3630	56883
24	3778	56678
25	3924	56458
26	4072	56254
27	4218	56049
28	4367	55880
29	4518	55732
30	4675	55650
31	4833	55590
32	4983	55427
33	5133	55260
34	5282	55089
35	5430	54906
36	5600	54941
37	5750	54779
38	5900	54613
39	6045	54408
40	6196	54253
41	6344	54075
42	6491	53895
43	6637	53707
44	6784	53525
45	6936	53377
46	7083	53201
47	7231	53028
48	7380	52870
49	7526	52683
50	7675	52524
51	7821	52344
52	7969	52176
53	8137	52140
54	8291	52009
55	8441	51853
56	8590	51695
57	8738	51526
58	8885	51357
59	9035	51202
60	9182	51029
61	9331	50874
62	9479	50706
63	9626	50539
64	9772	50364
65	9919	50197
66	10067	50039
67	10216	49879
68	10363	49713
69	10511	49552
70	10677	49477
71	10830	49340
72	10981	49191
73	11129	49029
74	11280	48880
75	11426	48712
76	11575	48556
77	11722	48392
78	11870	48233
79	12019	48076
80	12163	47905
81	12309	47737
82	12456	47575
83	12601	47404
84	12748	47246
85	12898	47095
86	13045	46934
87	13192	46774
88	13366	46706
89	13510	46536
90	13661	46389
91	13815	46251
92	13972	46125
93	14126	45987
94	14279	45844
95	14428	45691
96	14577	45535
97	14724	45376
98	14883	45251
99	15040	45120
100	15189	44966
101	15339	44815
102	15496	44684
103	15643	44524
104	15792	44369
105	15944	44222
106	16116	44131
107	16264	43973
108	16412	43815
109	16558	43653
110	16703	43490
111	16852	43336
112	17002	43183
113	17156	43041
114	17306	42889
115	17455	42734
116	17601	42574
117	17746	42410
118	17892	42251
119	18049	42114
120	18192	41948
121	18340	41791
122	18486	41632
123	18631	41470
124	18802	41365
125	18956	41222
126	19105	41068
127	19259	40925
128	19403	40763
129	19550	40605
130	19697	40447
131	19845	40292
