dataset,feature_name,dtype,row_count,missing_count,missing_percentage,unique_count,example_value
US_Accidents,ID,object,500000,0,0.0,500000,A-2047758
US_Accidents,Source,object,500000,0,0.0,3,Source2
US_Accidents,Severity,int64,500000,0,0.0,4,2
US_Accidents,Start_Time,object,500000,0,0.0,487027,2019-06-12 10:10:56
US_Accidents,End_Time,object,500000,0,0.0,493821,2019-06-12 10:55:58
US_Accidents,Start_Lat,float64,500000,0,0.0,368965,30.641211
US_Accidents,Start_Lng,float64,500000,0,0.0,370195,-91.153481
US_Accidents,Distance(mi),float64,500000,0,0.0,10627,0.0
US_Accidents,Description,object,500000,1,0.0002,408146,Accident on LA-19 Baker-Zachary Hwy at Lower Zachary Rd.
US_Accidents,Street,object,500000,691,0.1382,88272,Highway 19
US_Accidents,City,object,500000,19,0.0038,9488,Zachary
US_Accidents,County,object,500000,0,0.0,1606,East Baton Rouge
US_Accidents,State,object,500000,0,0.0,49,LA
US_Accidents,Timezone,object,500000,507,0.1014,4,US/Central
US_Accidents,Weather_Timestamp,object,500000,7674,1.5348,255623,2019-06-12 09:53:00
US_Accidents,Temperature(F),float64,500000,10466,2.0932,712,77.0
US_Accidents,Humidity(%),float64,500000,11130,2.226,100,62.0
US_Accidents,Visibility(mi),float64,500000,11291,2.2582,65,10.0
US_Accidents,Precipitation(in),float64,500000,142616,28.5232,175,0.0
US_Accidents,Weather_Condition,object,500000,11101,2.2202,108,Fair
US_Accidents,Junction,bool,500000,0,0.0,2,False
US_Accidents,Traffic_Signal,bool,500000,0,0.0,2,True
US_Accidents,Sunrise_Sunset,object,500000,1483,0.2966,2,Day
Iowa_DOT,X,float64,627473,8,0.0012749552570389482,519520,-10198423.4242
Iowa_DOT,Y,float64,627473,8,0.0012749552570389482,525435,5121936.526
Iowa_DOT,OBJECTID,int64,627473,0,0.0,627473,8931903
Iowa_DOT,CRASH_KEY,int64,627473,0,0.0,626518,2015840768
Iowa_DOT,CASENUMBER,int64,627473,0,0.0,626518,2015840768
Iowa_DOT,LECASENUM,object,627473,2394,0.3815303606689053,574643,N15000036
Iowa_DOT,CRASH_DATE,object,627473,0,0.0,4240,2015/01/18 00:00:00+00
Iowa_DOT,CRASH_MONTH,int64,627473,0,0.0,12,1
Iowa_DOT,CRASH_DAY,int64,627473,0,0.0,7,1
Iowa_DOT,TIMESTR,object,627473,0,0.0,1440,08:00
Iowa_DOT,DISTRICT,int64,627473,0,0.0,6,6
Iowa_DOT,COUNTY_NUMBER,int64,627473,0,0.0,100,52
Iowa_DOT,CITY_NUMBER,int64,627473,0,0.0,920,5557
Iowa_DOT,SYSTEMSTR,object,627473,31986,5.097589856455975,236,IA 14
Iowa_DOT,LITERAL,object,627473,1395,0.2223203229461666,273511,FAIRVIEW LN
Iowa_DOT,FRSTHARM,float64,627473,79,0.012590183163259614,66,33.0
Iowa_DOT,LOCFSTHRM,int64,627473,0,0.0,11,1
Iowa_DOT,CRCOMNNR,float64,627473,1,0.00015936940712986853,12,6.0
Iowa_DOT,MAJCSE,float64,627473,1,0.00015936940712986853,74,42.0
Iowa_DOT,DRUGALC,float64,627473,1,0.00015936940712986853,8,8.0
Iowa_DOT,ECNTCRC,int64,627473,0,0.0,10,1
Iowa_DOT,LIGHT,int64,627473,0,0.0,8,1
Iowa_DOT,CSRFCND,int64,627473,0,0.0,13,3
Iowa_DOT,WEATHER,int64,627473,0,0.0,13,1
Iowa_DOT,RCNTCRC,int64,627473,0,0.0,17,1
Iowa_DOT,RDTYP,int64,627473,0,0.0,26,1
Iowa_DOT,PAVED,int64,627473,0,0.0,3,1
Iowa_DOT,WZRELATED,float64,627473,619977,98.80536692415451,1,1.0
Iowa_DOT,CSEV,float64,627473,1,0.00015936940712986853,5,5.0
Iowa_DOT,FATALITIES,float64,627473,1,0.00015936940712986853,6,0.0
Iowa_DOT,INJURIES,float64,627473,1,0.00015936940712986853,22,0.0
Iowa_DOT,MAJINJURY,float64,627473,1,0.00015936940712986853,10,0.0
Iowa_DOT,MININJURY,float64,627473,1,0.00015936940712986853,16,0.0
Iowa_DOT,POSSINJURY,float64,627473,1,0.00015936940712986853,13,0.0
Iowa_DOT,UNKINJURY,float64,627473,1,0.00015936940712986853,8,0.0
Iowa_DOT,PROPDMG,float64,627473,1,0.00015936940712986853,11305,14000.0
Iowa_DOT,VEHICLES,float64,627473,1,0.00015936940712986853,22,2.0
Iowa_DOT,TOCCUPANTS,float64,627473,1,0.00015936940712986853,73,1.0
Iowa_DOT,REPORT,int64,627473,0,0.0,4,7
Iowa_DOT,XCOORD,int64,627473,0,0.0,233843,615255
Iowa_DOT,YCOORD,int64,627473,0,0.0,182465,4621707
Iowa_DOT,REST_UPDATED,object,627473,0,0.0,12,2025/01/01 07:41:55+00
Iowa_DOT,REST_UPDATE_UTC_OFFSET,float64,627473,627473,100.0,0,
Iowa_DOT,CRASH_DATETIME,object,627473,0,0.0,565084,2015/01/18 08:00:00+00
Iowa_DOT,CRASH_DATETIME_UTC,float64,627473,627473,100.0,0,
Iowa_DOT,CRASH_DATETIME_UTC_OFFSET,float64,627473,627473,100.0,0,
Iowa_DOT,CITY_NAME,object,627473,203928,32.49988445717983,916,NORTH LIBERTY
Iowa_DOT,COUNTY_NAME,object,627473,1116,0.17785625835693328,99,JOHNSON
Iowa_DOT,CARDINAL,int64,627473,0,0.0,11,9999
Iowa_DOT,GLOBALID,object,627473,0,0.0,627473,{8F4ADFFE-6AD6-4D99-8DA8-EF2EC527E47B}
