dataset,feature_name,availability_stage,recommended_policy,use_initial_strict,use_initial_relaxed,use_dynamic_model,use_factor_analysis,feature_role,leakage_risk,reason,review_decision,review_notes
US_Accidents,ID,IDENTIFIER,EXCLUDE,NO,NO,NO,NO,IDENTIFIER,LOW,Unique incident identifier; retain for tracking only.,,
US_Accidents,Source,T0_INITIAL,RELAXED_T0,NO,YES,YES,YES,DATA_SOURCE,MEDIUM,"Known from the reporting system, but may let the model learn provider-specific duration conventions.",,
US_Accidents,Severity,REVIEW_REQUIRED,REVIEW,NO,NO,NO,NO,INCIDENT_SEVERITY,MEDIUM,Severity may be assigned initially or updated later. Run strict models without it and relaxed models with it.,,
US_Accidents,Start_Time,T0_INITIAL,STRICT_T0,YES,YES,YES,YES,TEMPORAL,LOW,Incident start timestamp.,,
US_Accidents,End_Time,TARGET_DERIVED,EXCLUDE,NO,NO,NO,NO,TARGET,CRITICAL,Directly used to calculate reported event duration.,,
US_Accidents,Start_Lat,T0_INITIAL,STRICT_T0,YES,YES,YES,YES,LOCATION,LOW,Initial incident latitude.,,
US_Accidents,Start_Lng,T0_INITIAL,STRICT_T0,YES,YES,YES,YES,LOCATION,LOW,Initial incident longitude.,,
US_Accidents,End_Lat,REVIEW_REQUIRED,REVIEW,NO,NO,NO,NO,INCIDENT_EXTENT,HIGH,May describe the final affected extent rather than information available at initial notification.,,
US_Accidents,End_Lng,REVIEW_REQUIRED,REVIEW,NO,NO,NO,NO,INCIDENT_EXTENT,HIGH,May describe the final affected extent rather than information available at initial notification.,,
US_Accidents,Distance(mi),REVIEW_REQUIRED,REVIEW,NO,NO,NO,NO,INCIDENT_EXTENT,HIGH,Affected distance may be updated as the event develops. Exclude from strict T0 and test separately.,,
US_Accidents,Description,T0_INITIAL,STRICT_T0,YES,YES,YES,YES,INCIDENT_TEXT,MEDIUM,Used as the initial narrative. Verify that descriptions are not final updated summaries.,,
US_Accidents,Street,STATIC_CONTEXT,STRICT_T0,YES,YES,YES,YES,GEOGRAPHIC_CONTEXT,LOW,Existing geographic context available from incident location.,,
US_Accidents,City,STATIC_CONTEXT,STRICT_T0,YES,YES,YES,YES,GEOGRAPHIC_CONTEXT,LOW,Existing geographic context available from incident location.,,
US_Accidents,County,STATIC_CONTEXT,STRICT_T0,YES,YES,YES,YES,GEOGRAPHIC_CONTEXT,LOW,Existing geographic context available from incident location.,,
US_Accidents,State,STATIC_CONTEXT,STRICT_T0,YES,YES,YES,YES,GEOGRAPHIC_CONTEXT,LOW,Existing geographic context available from incident location.,,
