dataset,availability_stage,recommended_policy,leakage_risk,feature_count
Iowa_DOT,IDENTIFIER,EXCLUDE,LOW,5
Iowa_DOT,METADATA,EXCLUDE,CRITICAL,1
Iowa_DOT,METADATA,EXCLUDE,HIGH,1
Iowa_DOT,METADATA,EXCLUDE,LOW,1
Iowa_DOT,REVIEW_REQUIRED,FACTOR_ANALYSIS_ONLY,HIGH,6
Iowa_DOT,REVIEW_REQUIRED,REVIEW,HIGH,1
Iowa_DOT,REVIEW_REQUIRED,REVIEW,MEDIUM,1
Iowa_DOT,STATIC_CONTEXT,REVIEW,LOW,2
Iowa_DOT,STATIC_CONTEXT,STRICT_T0,LOW,16
Iowa_DOT,T0_INITIAL,EXCLUDE,LOW,4
Iowa_DOT,T0_INITIAL,STRICT_T0,LOW,2
Iowa_DOT,T1_DYNAMIC,DYNAMIC_ONLY,MEDIUM,4
Iowa_DOT,T2_FINAL,FACTOR_ANALYSIS_ONLY,HIGH,6
US_Accidents,IDENTIFIER,EXCLUDE,LOW,1
US_Accidents,REVIEW_REQUIRED,REVIEW,HIGH,3
US_Accidents,REVIEW_REQUIRED,REVIEW,MEDIUM,1
US_Accidents,STATIC_CONTEXT,STRICT_T0,LOW,21
US_Accidents,T0_INITIAL,RELAXED_T0,LOW,1
US_Accidents,T0_INITIAL,RELAXED_T0,MEDIUM,1
US_Accidents,T0_INITIAL,STRICT_T0,LOW,16
US_Accidents,T0_INITIAL,STRICT_T0,MEDIUM,1
US_Accidents,TARGET_DERIVED,EXCLUDE,CRITICAL,1
