Architecture,Dataset,MAE (Mins),MedAE (Mins),RMSE,MAPE (%)
1. XGB Log,1. Struct Only,49.509888910002495,20.63405558268229,105.20542692878982,55.29336448432572
2. XGB AFT,1. Struct Only,53.42268826811508,18.623782730102537,116.39684984492665,44.315015014742556
3. Cat Quantile,1. Struct Only,48.99610900179323,19.15280460549844,110.80245929311151,60.517290528644594
1. XGB Log,2. Struct+Sem,49.40755667424745,20.320221583048507,105.3937150224896,54.95293534560473
2. XGB AFT,2. Struct+Sem,53.07941199057552,18.65124168395996,115.73865848200907,44.06290005002128
3. Cat Quantile,2. Struct+Sem,47.86967394562327,18.632826174690038,107.99969018847625,57.683229987218134
1. XGB Log,3. Struct+Emb,46.823882493628076,20.244016520182285,104.74365025862174,51.377092950705325
2. XGB AFT,3. Struct+Emb,51.59244956887231,18.517146555582684,114.33638052684299,41.271164521310745
3. Cat Quantile,3. Struct+Emb,49.11534315321547,20.737567031802513,109.63293066897778,63.131999398702334
1. XGB Log,4. Dumb Join,46.542173596207235,20.036105346679683,104.62732124143308,50.552369529723975
2. XGB AFT,4. Dumb Join,51.97612734715463,18.54903793334961,115.00213115826807,41.621200082460206
3. Cat Quantile,4. Dumb Join,49.60369321511194,20.044666615497707,111.31339171275572,64.40659481725525
1. XGB Log,5. Gated Fusion,46.54485946882521,19.98131357828776,104.66171313969599,50.91040565365108
2. XGB AFT,5. Gated Fusion,51.65778232514459,18.349614842732745,114.70402728638165,41.306901287605044
3. Cat Quantile,5. Gated Fusion,50.00601484542274,21.901408882546498,111.9092874834199,63.8167430206036
