Architecture,Dataset,MAE (Mins),MedAE (Mins),RMSE,MAPE (%)
1. XGB Log,1. Struct Only,57.565686618932084,21.293866221110026,138.67031506441103,60.88195180579794
2. XGB AFT,1. Struct Only,6545.302796295548,20.424794006347653,288572.40325587394,5021.124807232576
3. Cat Quantile,1. Struct Only,67.19805399764972,26.749514652044112,143.02445074892356,92.64746297871879
1. XGB Log,2. Struct+Sem,57.149015959167485,21.54664344787598,137.9605949745524,61.19487282066234
2. XGB AFT,2. Struct+Sem,13886.282200375963,20.005276362101235,616447.9328040859,10655.476940123352
3. Cat Quantile,2. Struct+Sem,66.12479563384424,26.035938067481663,140.880889808989,84.72640034169835
1. XGB Log,3. Struct+Emb,54.62710869159698,21.983982340494794,131.6137528819013,55.47764501201948
2. XGB AFT,3. Struct+Emb,79.34890832716624,20.625536982218424,789.602710157573,58.5142125415919
3. Cat Quantile,3. Struct+Emb,68.45757434311204,27.750278734914097,145.90384086706598,92.72545919562977
1. XGB Log,4. Dumb Join,54.55230394452413,22.346544392903645,131.81767371138193,55.46204856481691
2. XGB AFT,4. Dumb Join,80.03407624909084,20.38808975219726,811.7410590555056,59.187467226088316
3. Cat Quantile,4. Dumb Join,66.0274801283621,27.681204242633147,140.4691246531896,88.3922282658155
1. XGB Log,5. Gated Fusion,54.360409893099465,21.64812609354655,132.33781170182547,55.540658872060625
2. XGB AFT,5. Gated Fusion,71.33400564250947,20.090990193684895,452.5769956708556,56.14376991936986
3. Cat Quantile,5. Gated Fusion,68.63407708860593,29.35521426553609,145.92145045070237,94.79552763558236
