Dataset,Architecture,Severity,Count,MedAE (Mins)
1. Struct Only,1. XGB Log,1,15,10.260150909423828
1. Struct Only,1. XGB Log,2,1560,23.446900304158532
1. Struct Only,1. XGB Log,3,369,11.587452443440753
1. Struct Only,1. XGB Log,4,48,41.555913798014316
1. Struct Only,2. XGB AFT,1,15,12.123660532633465
1. Struct Only,2. XGB AFT,2,1560,22.524366760253905
1. Struct Only,2. XGB AFT,3,369,12.089312998453778
1. Struct Only,2. XGB AFT,4,48,38.36526997884115
1. Struct Only,3. Cat Quantile,1,15,13.429725486293869
1. Struct Only,3. Cat Quantile,2,1560,21.55240039007733
1. Struct Only,3. Cat Quantile,3,369,12.81397767118446
1. Struct Only,3. Cat Quantile,4,48,41.446998606817026
2. Struct+Sem,1. XGB Log,1,15,12.909412384033203
2. Struct+Sem,1. XGB Log,2,1560,23.0771427154541
2. Struct+Sem,1. XGB Log,3,369,11.38217595418294
2. Struct+Sem,1. XGB Log,4,48,37.27704518636068
2. Struct+Sem,2. XGB AFT,1,15,12.324370829264325
2. Struct+Sem,2. XGB AFT,2,1560,22.374801381429037
2. Struct+Sem,2. XGB AFT,3,369,12.08444620768229
2. Struct+Sem,2. XGB AFT,4,48,33.74971135457357
2. Struct+Sem,3. Cat Quantile,1,15,10.850397538070531
2. Struct+Sem,3. Cat Quantile,2,1560,21.855886216659403
2. Struct+Sem,3. Cat Quantile,3,369,11.886784433142157
2. Struct+Sem,3. Cat Quantile,4,48,24.507711367260075
3. Struct+Emb,1. XGB Log,1,15,11.90324376424153
3. Struct+Emb,1. XGB Log,2,1560,22.098469797770182
3. Struct+Emb,1. XGB Log,3,369,12.067518107096355
3. Struct+Emb,1. XGB Log,4,48,43.6897715250651
3. Struct+Emb,2. XGB AFT,1,15,14.333852767944336
3. Struct+Emb,2. XGB AFT,2,1560,22.271208445231125
3. Struct+Emb,2. XGB AFT,3,369,12.828056208292644
3. Struct+Emb,2. XGB AFT,4,48,35.80363566080729
3. Struct+Emb,3. Cat Quantile,1,15,10.925904132463529
3. Struct+Emb,3. Cat Quantile,2,1560,23.079270546024233
3. Struct+Emb,3. Cat Quantile,3,369,13.027118947381155
3. Struct+Emb,3. Cat Quantile,4,48,44.279978033111135
4. Dumb Join,1. XGB Log,1,15,11.031360371907546
4. Dumb Join,1. XGB Log,2,1560,22.012548192342123
4. Dumb Join,1. XGB Log,3,369,11.530323537190757
4. Dumb Join,1. XGB Log,4,48,47.51994374593099
4. Dumb Join,2. XGB AFT,1,15,14.497140884399414
4. Dumb Join,2. XGB AFT,2,1560,22.325979232788086
4. Dumb Join,2. XGB AFT,3,369,12.873908233642581
4. Dumb Join,2. XGB AFT,4,48,36.52192637125651
4. Dumb Join,3. Cat Quantile,1,15,15.702470700658125
4. Dumb Join,3. Cat Quantile,2,1560,22.060875516549864
4. Dumb Join,3. Cat Quantile,3,369,13.455550935808816
4. Dumb Join,3. Cat Quantile,4,48,42.158611148069454
5. Gated Fusion,1. XGB Log,1,15,7.441178131103513
5. Gated Fusion,1. XGB Log,2,1560,22.250905100504554
5. Gated Fusion,1. XGB Log,3,369,11.86167678833008
5. Gated Fusion,1. XGB Log,4,48,49.10233942667643
5. Gated Fusion,2. XGB AFT,1,15,14.684867858886719
5. Gated Fusion,2. XGB AFT,2,1560,21.314684041341152
5. Gated Fusion,2. XGB AFT,3,369,12.925684356689452
5. Gated Fusion,2. XGB AFT,4,48,34.48000844319661
5. Gated Fusion,3. Cat Quantile,1,15,10.559587522802929
5. Gated Fusion,3. Cat Quantile,2,1560,23.403728091395624
5. Gated Fusion,3. Cat Quantile,3,369,13.861400876680506
5. Gated Fusion,3. Cat Quantile,4,48,38.665040605858536
