Architecture,Dataset,MAE (Mins),MedAE (Mins),RMSE,MAPE (%)
1. XGB Log,1. Struct Only,141.3885243527524,66.9799591064453,260.02202785115213,43.83398663410883
2. XGB AFT,1. Struct Only,25205.203219155457,94.86307703653972,567028.5057843076,19223.93285944448
3. Cat Quantile,1. Struct Only,134.5417912944398,62.57291874459722,249.8689939339653,40.95111810546296
1. XGB Log,2. Struct+Sem,140.21967969744668,63.57162043253581,258.464356928762,43.12363769991926
2. XGB AFT,2. Struct+Sem,53547.95891238179,93.18134892781576,1211285.475332297,40973.802614372835
3. Cat Quantile,2. Struct+Sem,137.3263674270586,73.44384503071055,249.2560914398453,41.60647129289511
1. XGB Log,3. Struct+Emb,140.51319305586844,67.50427220662435,250.85649351167214,41.23949075097349
2. XGB AFT,3. Struct+Emb,239.95023998667986,94.44507217407227,1539.4028783337285,85.0807482961667
3. Cat Quantile,3. Struct+Emb,142.22155345435212,74.84409063321141,257.8880388199788,40.582878769038146
1. XGB Log,4. Dumb Join,140.0612460820064,66.84192492167153,251.13497358183602,41.04776680844321
2. XGB AFT,4. Dumb Join,241.8880764871644,92.84249877929688,1582.5233939362363,86.09993835236847
3. Cat Quantile,4. Dumb Join,139.20950848986405,75.20939610121171,254.20023781708787,40.13155550819287
1. XGB Log,5. Gated Fusion,139.21824377543524,65.76255671183267,251.9734596492504,40.216858843702234
2. XGB AFT,5. Gated Fusion,204.79791121243508,92.672119140625,853.7813858241017,68.42674511903854
3. Cat Quantile,5. Gated Fusion,139.24105752928253,69.5639732148733,255.95097895707116,39.94352052583702
