State,count,mean,median,standard_deviation,minimum,maximum,q10,q25,q75,q90,q95,q99,iqr,mean_median_ratio
AL,6245,86.10820389645049,59.8,100.12238082256725,9.5,1545.0,29.45,29.783333333333335,105.0,149.7,230.94666666666646,462.5366666666625,75.21666666666667,1.4399365200075334
AR,1196,109.73267837235228,78.525,110.71862580323429,10.5,1590.5,29.633333333333333,74.97916666666667,127.40833333333333,187.825,265.8125,498.9199999999994,52.42916666666666,1.397423474974241
AZ,10022,120.20495077496174,64.96666666666667,222.02820251288705,5.5,6255.0,29.516666666666666,29.833333333333332,118.625,260.2966666666663,360.0,1491.1596666666667,88.79166666666667,1.8502557841194727
CA,101909,119.36460126191014,71.75,1811.1646529998845,5.5,525599.9833333333,29.55,32.1,129.01666666666668,266.6933333333332,360.0,651.0,96.91666666666669,1.6636181360544966
CO,5407,110.32816102583072,46.75,1229.8526242133896,6.5,89880.0,29.416666666666668,30.0,99.49166666666667,211.0333333333334,360.0,404.20633333333285,69.49166666666667,2.359960663654133
CT,4060,128.942052545156,79.275,137.793900425498,6.0,1483.5833333333333,29.316666666666666,36.6,146.625,360.0,360.0,606.8336666666659,110.025,1.6265159576809334
DC,1018,326.553356254093,78.0,6475.389952506887,6.0,206662.0,29.285,44.45,119.9375,344.45000000000033,362.7999999999997,812.9323333333335,75.4875,4.1865814904370895
DE,817,2446.66268869849,59.9,36352.18060894569,7.0,728970.6,29.22,29.766666666666666,84.4,197.09666666666652,360.0,1489.3500000000001,54.63333333333334,40.84578779129366
FL,49463,141.92284839172714,75.88333333333334,305.8463551416112,6.0,16675.883333333335,29.333333333333332,44.11666666666667,132.55,360.0,489.8833333333333,898.2473333333326,88.43333333333334,1.8702769390519718
GA,10230,107.92188986640599,49.96666666666667,1278.6296941321916,7.0,128864.91666666667,29.366666666666667,29.716666666666665,91.0,263.10000000000036,360.0,423.3136666666646,61.28333333333333,2.1598777158053233
IA,1569,867.7908859145953,60.0,13261.607669180792,11.5,341579.0,29.13,29.683333333333334,100.35,343.7166666666669,360.0,963.0599999999963,70.66666666666666,14.463181431909922
ID,617,434.80145867098867,96.05,5812.274827164142,13.0,143960.36666666667,29.366666666666667,59.3,149.46666666666667,360.0,672.979999999998,1853.3620000000137,90.16666666666667,4.526824140249752
IL,10447,107.76681982068216,45.93333333333333,448.40575188283333,8.0,44105.71666666667,29.383333333333333,29.766666666666666,95.57499999999999,360.0,360.0,360.0,65.80833333333332,2.3461571804212373
