Weather_Condition,count,mean,median,standard_deviation,minimum,maximum,q10,q25,q75,q90,q95,q99,iqr,mean_median_ratio
Blowing Dust,16,140.11666666666667,120.76666666666667,105.69300232626918,29.566666666666666,407.0,56.108333333333334,77.02916666666667,140.09583333333333,287.45,371.75,399.95,63.06666666666666,1.160226331769252
Blowing Dust / Windy,15,95.88000000000001,120.0,44.50434622970361,29.6,165.88333333333333,36.483333333333334,50.95,129.625,135.71666666666667,146.44666666666663,161.99599999999998,78.675,0.799
Blowing Snow,32,102.7375,76.575,87.56339669553834,22.5,360.0,29.41,35.06666666666667,127.69999999999999,193.25,279.7916666666666,360.0,92.63333333333333,1.341658504733921
Blowing Snow / Windy,36,168.28750000000002,121.19166666666666,158.04897263817986,14.0,792.4,72.9,78.95833333333333,165.425,332.5,484.4083333333333,714.9566666666664,86.46666666666668,1.388606202296638
Clear,52335,118.78843348937933,39.233333333333334,2144.8598572637206,13.883333333333333,341579.0,29.45,29.683333333333334,59.733333333333334,360.0,360.0,360.0,30.05,3.0277425698227525
Cloudy,46463,666.491943768877,78.41666666666667,16481.309189895463,4.0,790283.7,29.569999999999997,46.3,126.56666666666666,206.83000000000007,330.20500000000015,912.6013333333326,80.26666666666667,8.499365914162087
Cloudy / Windy,937,233.2150836001423,77.06666666666666,1764.848910444489,10.0,34654.083333333336,29.509999999999998,45.0,124.76666666666667,209.76666666666662,361.6999999999994,1530.412666666666,79.76666666666667,3.0261472785485592
Drifting Snow / Windy,1,50.0,50.0,,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,0.0,1.0
Drizzle,265,110.11899371069183,59.71666666666667,155.5054601464115,20.5,1691.7666666666667,29.473333333333333,29.883333333333333,119.45,251.97999999999988,360.0,743.0393333333345,89.56666666666666,1.8440244551050822
Drizzle / Windy,1,75.1,75.1,,75.1,75.1,75.1,75.1,75.1,75.1,75.1,75.1,0.0,1.0
Drizzle and Fog,28,138.67678571428573,96.525,122.01335219547519,27.516666666666666,406.68333333333334,29.815,60.9625,144.42916666666667,354.24333333333334,367.63166666666666,397.2513333333334,83.46666666666667,1.4366929366929369
Fair,143041,490.42096555066956,78.91666666666667,14110.152376949605,2.5,1578299.5666666667,29.583333333333332,48.233333333333334,128.08333333333334,204.08333333333334,323.7,880.8200000000026,79.85000000000001,6.2144156141584315
Fair / Windy,1987,890.1558631102164,80.33333333333333,19646.432159179152,8.0,525705.0,29.733333333333334,52.61666666666667,129.85000000000002,209.11666666666667,364.9049999999993,942.9683333333295,77.23333333333335,11.08077837896535
Fog,5744,665.8362784354689,77.30833333333334,16980.512894100906,7.5,525705.0,29.6,44.68333333333333,127.45,226.06999999999996,360.0,872.6289999999987,82.76666666666668,8.612736166029563
Fog / Windy,45,172.51111111111112,115.5,238.32195774399239,13.5,1577.5833333333333,46.39333333333334,76.88333333333334,182.25,306.1400000000001,390.1266666666665,1114.006666666669,105.36666666666666,1.4936026936026936
Freezing Drizzle,2,118.54166666666666,118.54166666666666,27.659660257413773,98.98333333333333,138.1,102.895,108.7625,128.32083333333333,134.18833333333333,136.14416666666665,137.70883333333333,19.558333333333323,1.0
Freezing Rain,10,130.1,108.5,64.66668957617006,60.0,234.15,73.215,78.93333333333334,166.77083333333331,234.15,234.15,234.15,87.83749999999998,1.1990783410138248
Funnel Cloud,6,61.625,44.75833333333334,36.48085761357896,29.616666666666667,129.0,37.15,44.6875,68.90416666666667,102.96666666666667,115.98333333333333,126.39666666666668,24.21666666666667,1.3768385775460805
Hail,5,88.51,95.0,11.347084794489433,75.65,97.63333333333334,76.04333333333334,76.63333333333334,97.63333333333334,97.63333333333334,97.63333333333334,97.63333333333334,21.0,0.9316842105263159
Haze,4612,337.5147947383637,59.608333333333334,10945.417920869942,8.0,525705.0,29.5,29.816666666666666,123.83749999999999,242.25833333333466,360.0,736.7596666666711,94.02083333333333,5.662208215937879
Haze / Windy,94,141.79273049645388,115.23333333333333,132.50588408202515,14.0,959.5,33.15,77.09583333333333,156.19583333333333,240.81166666666672,387.2516666666665,597.2494999999974,79.1,1.2304836317308696
Heavy Drizzle,26,117.06153846153846,68.625,164.42544104103376,29.266666666666666,823.0,29.78333333333333,30.387500000000003,102.55416666666666,242.90833333333333,335.20416666666665,707.25,72.16666666666666,1.70581476810985
Heavy Freezing Drizzle,1,28.75,28.75,,28.75,28.75,28.75,28.75,28.75,28.75,28.75,28.75,0.0,1.0
Heavy Rain,1921,917.0851639770954,59.95,20760.682365050427,6.0,525705.0,29.45,29.9,112.25,188.28333333333333,360.0,444.74999999999983,82.35,15.297500650160055
Heavy Rain / Windy,96,113.79114583333335,79.81666666666666,99.36986688212038,13.0,600.0,29.491666666666667,49.725,128.29583333333335,237.21666666666664,348.2,415.6999999999995,78.57083333333335,1.42565645228649
Heavy Sleet,2,141.58333333333334,141.58333333333334,11.572980985419834,133.4,149.76666666666668,135.03666666666666,137.49166666666667,145.675,148.13000000000002,148.94833333333335,149.603,8.183333333333337,1.0
Heavy Snow,259,161.13693693693693,101.91666666666667,199.5145558478034,11.5,1682.7166666666667,29.776666666666667,59.80833333333334,195.39166666666665,360.0,362.4666666666665,1233.0779999999943,135.58333333333331,1.5810656118096837
Heavy Snow / Windy,34,173.4392156862745,112.53333333333333,184.009938745009,13.5,1002.5,75.12,78.1875,174.01666666666668,361.4,450.42499999999984,836.5100000000009,95.82916666666668,1.5412252578756622
Heavy T-Storm,557,1053.729712746858,77.31666666666666,22272.18725030033,10.0,525725.0,29.419999999999998,46.35,123.11666666666666,166.57333333333338,236.6399999999999,752.9419999999816,76.76666666666665,13.628752482175358
Heavy T-Storm / Windy,57,134.72748538011697,76.01666666666667,265.0918799892266,25.55,1490.2333333333333,29.62333333333333,54.0,122.18333333333334,161.00999999999996,221.8799999999999,1489.8133333333333,68.18333333333334,1.7723413994314885
Heavy Thunderstorms and Rain,170,79.55029411764707,30.0,109.02070705894177,26.016666666666666,360.0,29.366666666666667,29.654166666666665,45.324999999999996,360.0,360.0,360.0,15.67083333333333,2.6516764705882356
Ice Pellets,8,33.4125,29.78333333333333,6.931649005576373,29.016666666666666,44.71666666666667,29.506666666666664,29.729166666666668,33.6375,44.6,44.65833333333333,44.705,3.908333333333335,1.1218522663682151
Light Blowing Snow,1,29.95,29.95,,29.95,29.95,29.95,29.95,29.95,29.95,29.95,29.95,0.0,1.0
Light Drizzle,1376,104.60049660852712,60.09166666666667,131.23467619157188,11.533333333333333,1587.7333333333333,29.483333333333334,29.845833333333335,115.0,239.86666666666667,360.0,728.825,85.15416666666667,1.7406822345060677
Light Drizzle / Windy,17,157.05,74.96666666666667,358.58129293903966,28.05,1544.1333333333334,35.36,55.05,86.55,123.46666666666667,410.67999999999904,1317.4426666666666,31.5,2.0949310804802135
Light Freezing Drizzle,84,84.91626984126985,44.46666666666667,101.475586877352,27.95,464.8333333333333,29.419999999999998,29.745833333333334,85.925,182.2633333333334,360.0,424.55066666666676,56.17916666666666,1.9096612408081675
Light Freezing Fog,54,98.49537037037037,37.70833333333333,110.27872379841256,28.216666666666665,360.0,29.471666666666668,29.670833333333334,97.9875,240.0,360.0,360.0,68.31666666666666,2.6120319214241867
Light Freezing Rain,204,110.52900326797386,44.74166666666667,132.23739077686136,28.616666666666667,1063.6,29.516666666666666,29.716666666666665,133.0125,360.0,360.0,421.48183333333327,103.29583333333332,2.4703818946092126
Light Freezing Rain / Windy,6,149.58055555555555,106.40833333333333,167.0903991578832,28.85,480.0,36.18333333333334,55.02916666666667,130.03750000000002,306.15,393.075,462.61500000000007,75.00833333333335,1.405722191766518
Light Hail,1,29.8,29.8,,29.8,29.8,29.8,29.8,29.8,29.8,29.8,29.8,0.0,1.0
Light Haze,1,29.75,29.75,,29.75,29.75,29.75,29.75,29.75,29.75,29.75,29.75,0.0,1.0
Light Ice Pellets,13,85.13461538461539,29.8,122.43159550101059,29.366666666666667,361.1166666666667,29.44666666666667,29.583333333333332,44.6,296.9433333333335,360.44666666666666,360.98266666666666,15.01666666666667,2.856866288074342
Light Rain,20752,395.66297625931634,59.93333333333333,12130.963702698271,6.0,525705.0,29.433333333333334,29.833333333333332,120.0,240.0,360.0,705.0955000000021,90.16666666666667,6.601718180077581
Light Rain / Windy,447,144.81051454138702,80.03333333333333,322.9443171093466,11.5,5865.0,29.44333333333333,44.766666666666666,132.44166666666666,240.0,485.9383333333333,884.5670000000005,87.675,1.8093775244654773
Light Rain Shower,18,114.66851851851851,76.57499999999999,97.14814219693875,29.15,306.01666666666665,29.7,39.15833333333333,141.4375,296.52166666666665,300.435,304.9003333333333,102.27916666666667,1.497466777910787
Light Rain Shower / Windy,3,74.32222222222222,79.13333333333334,37.18417126402836,34.96666666666667,108.86666666666666,43.800000000000004,57.050000000000004,94.0,102.92,105.89333333333332,108.27199999999999,36.949999999999996,0.9392024712159505
Light Rain Showers,13,161.62051282051283,48.11666666666667,163.4764863250877,29.583333333333332,360.0,29.736666666666668,29.833333333333332,360.0,360.0,360.0,360.0,330.1666666666667,3.358929951240308
Light Rain with Thunder,713,832.5279336138382,75.06666666666666,19684.90457207567,8.5,525705.0,29.240000000000002,44.78333333333333,120.1,155.54333333333335,210.60999999999996,391.10733333333326,75.31666666666666,11.090514213328218
Light Sleet,19,109.58333333333334,127.01666666666667,56.53824200169275,15.0,231.23333333333332,36.230000000000004,76.69166666666666,143.34166666666667,170.44666666666666,184.7333333333332,221.93333333333334,66.65,0.8627476709093296
Light Snow,7186,123.98872808238241,75.875,255.14029787713162,7.0,8193.366666666667,29.5,31.0,127.3625,240.0,360.0,962.7741666666641,96.3625,1.6341183272801636
Light Snow / Windy,339,145.9538348082596,89.18333333333334,250.9791921813418,13.0,2813.0,29.71333333333333,60.0,142.44166666666666,249.7233333333333,347.35833333333255,1474.6416666666669,82.44166666666666,1.6365595381228881
Light Snow Grains,1,59.61666666666667,59.61666666666667,,59.61666666666667,59.61666666666667,59.61666666666667,59.61666666666667,59.61666666666667,59.61666666666667,59.61666666666667,59.61666666666667,0.0,1.0
Light Snow Shower,4,71.10833333333333,74.70833333333333,57.86909637116183,13.666666666666666,121.35,18.236666666666665,25.091666666666665,120.725,121.1,121.225,121.32499999999999,95.63333333333333,0.9518126045733408
Light Snow Showers,2,202.00833333333333,202.00833333333333,223.43395774192925,44.016666666666666,360.0,75.61500000000001,123.0125,281.00416666666666,328.4016666666667,344.2008333333333,356.8401666666667,157.99166666666667,1.0
Light Snow and Sleet,9,110.01296296296296,121.61666666666666,36.87806463515361,29.316666666666666,156.73333333333332,70.17000000000002,100.5,128.26666666666668,135.7866666666667,146.26,154.63866666666667,27.76666666666668,0.904587882386978
Light Snow and Sleet / Windy,2,112.91666666666666,112.91666666666666,20.765369140844946,98.23333333333333,127.6,101.17,105.575,120.25833333333333,124.66333333333333,126.13166666666666,127.30633333333333,14.683333333333323,1.0
Light Snow with Thunder,3,71.82777777777778,60.96666666666667,48.65942392833105,29.516666666666666,125.0,35.806666666666665,45.24166666666667,92.98333333333333,112.19333333333333,118.59666666666666,123.71933333333334,47.74166666666667,1.1781483506469839
Light Thunderstorms and Rain,296,94.32252252252252,43.025,122.69417471847972,26.016666666666666,360.0,29.375,29.666666666666668,59.6875,360.0,360.0,360.0,30.020833333333332,2.1922724583968045
Light Thunderstorms and Snow,2,29.108333333333334,29.108333333333334,0.5303300858899106,28.733333333333334,29.483333333333334,28.808333333333334,28.920833333333334,29.295833333333334,29.408333333333335,29.445833333333333,29.475833333333334,0.375,1.0
Low Drifting Snow,1,44.666666666666664,44.666666666666664,,44.666666666666664,44.666666666666664,44.666666666666664,44.666666666666664,44.666666666666664,44.666666666666664,44.666666666666664,44.666666666666664,0.0,1.0
Mist,221,100.78876319758672,44.75,127.68831633894101,27.166666666666668,830.0,29.5,29.75,84.41666666666667,360.0,360.0,480.0,54.66666666666667,2.2522628647505414
Mist / Windy,1,26.5,26.5,,26.5,26.5,26.5,26.5,26.5,26.5,26.5,26.5,0.0,1.0
Mostly Cloudy,59467,392.2076992281433,60.0,12038.34035299967,5.5,525780.0,29.45,29.866666666666667,120.64166666666668,257.72333333333336,360.0,758.4009999999995,90.775,6.536794987135722
Mostly Cloudy / Windy,963,132.51280719972308,77.65,215.46735009876053,11.0,2879.983333333333,29.483333333333334,45.0,129.375,226.40000000000003,382.6716666666664,1440.2726666666663,84.375,1.7065396934928923
N/A Precipitation,164,172.5913617886179,99.025,269.6032631616404,13.5,1605.0,30.198333333333334,75.0,161.625,268.0416666666669,527.1899999999997,1531.4751666666673,86.625,1.7429069607535257
Overcast,24896,329.6519922879177,30.0,21161.691917393044,14.733333333333333,2236405.75,29.416666666666668,29.666666666666668,59.666666666666664,360.0,360.0,360.0,29.999999999999996,10.988399742930591
Partial Fog,3,69.34444444444445,61.483333333333334,19.861550888681975,54.61666666666667,91.93333333333334,55.99,58.05,76.70833333333334,85.84333333333333,88.88833333333334,91.32433333333333,18.658333333333346,1.1278575946507636
Partial Fog / Windy,1,74.8,74.8,,74.8,74.8,74.8,74.8,74.8,74.8,74.8,74.8,0.0,1.0
Partly Cloudy,41012,301.5981846776553,60.0,10084.105651627213,6.5,728970.6,29.466666666666665,29.9,120.475,240.19833333333335,360.0,717.9931666666663,90.57499999999999,5.0266364112942545
Partly Cloudy / Windy,561,129.81232917409386,79.38333333333334,203.50827009735409,15.0,2575.5,29.616666666666667,45.78333333333333,126.0,212.41666666666666,398.0,846.5533333333328,80.21666666666667,1.6352592379688498
Patches of Fog,239,104.42384937238494,59.68333333333333,156.5103424249031,26.0,1515.35,29.626666666666665,29.833333333333332,90.98333333333333,280.66333333333347,360.0,786.5030000000002,61.150000000000006,1.7496316566163352
Rain,4966,210.75361457913812,59.84166666666667,7461.170065548005,5.5,525705.0,29.441666666666666,29.883333333333333,112.25,227.35,360.0,618.3266666666777,82.36666666666667,3.521854024439016
Rain / Windy,142,128.1261737089202,80.875,166.1267073340966,13.5,1605.0,27.983333333333334,44.89583333333333,142.2,240.0,416.31916666666604,551.7051666666667,97.30416666666666,1.5842494430778384
Rain Shower,1,96.1,96.1,,96.1,96.1,96.1,96.1,96.1,96.1,96.1,96.1,0.0,1.0
Rain Showers,5,32.723333333333336,29.733333333333334,6.706097971249749,29.516666666666666,44.71666666666667,29.596666666666664,29.716666666666665,29.933333333333334,38.803333333333335,41.76,44.12533333333334,0.21666666666666856,1.100560538116592
Sand,1,29.716666666666665,29.716666666666665,,29.716666666666665,29.716666666666665,29.716666666666665,29.716666666666665,29.716666666666665,29.716666666666665,29.716666666666665,29.716666666666665,0.0,1.0
Sand / Dust Whirlwinds,5,54.496666666666655,29.833333333333332,47.16674970546283,28.566666666666666,137.75,28.9,29.4,46.93333333333333,101.42333333333335,119.58666666666664,134.11733333333333,17.53333333333333,1.8267039106145249
Scattered Clouds,13029,149.15228208867399,31.283333333333335,3963.1667621520396,20.866666666666667,338600.6666666667,29.433333333333334,29.683333333333334,59.75,360.0,360.0,360.0,30.066666666666666,4.767787386958145
Shallow Fog,183,107.56903460837889,59.71666666666667,138.8956557757846,18.5,1089.3666666666666,29.423333333333336,29.833333333333336,107.45,249.77333333333337,360.0,654.6600000000012,77.61666666666667,1.8013234933024653
Showers in the Vicinity,80,85.9975,75.03333333333333,69.50618283419129,11.0,474.3833333333333,29.233333333333334,42.4125,103.09583333333333,133.54833333333337,201.2758333333332,321.5709999999988,60.68333333333333,1.146123944913372
Sleet,6,99.78611111111111,91.90833333333333,23.61867297209907,78.98333333333333,139.68333333333334,80.60833333333333,82.63333333333333,110.49583333333334,126.84166666666667,133.2625,138.39916666666667,27.86250000000001,1.085713422189984
Sleet / Windy,1,139.48333333333332,139.48333333333332,,139.48333333333332,139.48333333333332,139.48333333333332,139.48333333333332,139.48333333333332,139.48333333333332,139.48333333333332,139.48333333333332,0.0,1.0
Small Hail,10,98.625,69.05,102.19141753543316,29.5,360.0,29.62,29.704166666666666,122.5375,148.12499999999991,254.06249999999977,338.81250000000006,92.83333333333333,1.4283128167994208
Smoke,762,196.09418197725284,77.81666666666666,903.1869891582297,11.5,21904.9,29.566666666666666,44.208333333333336,132.42916666666667,310.5499999999999,433.9133333333311,2395.0,88.22083333333333,2.519950935668274
Smoke / Windy,7,4804.897619047619,63.18333333333333,6668.582212408481,33.53333333333333,15601.35,40.31333333333333,49.108333333333334,8919.0,13751.94,14676.644999999999,15416.409,8869.891666666666,76.04691562723744
Snow,842,180.54851543942993,90.25833333333333,753.5185718385018,14.0,18705.0,29.56833333333333,44.28333333333333,164.82500000000002,335.9599999999998,360.0,1493.2291666666667,120.54166666666669,2.000352862407127
Snow / Windy,59,180.97401129943503,111.5,279.50068439849287,28.0,1563.7833333333333,44.946666666666665,76.275,150.75,255.7266666666667,573.2999999999989,1523.1833333333334,74.475,1.6230853031339465
Snow Grains,1,374.6,374.6,,374.6,374.6,374.6,374.6,374.6,374.6,374.6,374.6,0.0,1.0
Snow and Sleet,23,84.16956521739131,81.73333333333333,39.005001832895616,13.5,160.38333333333333,29.55,53.08333333333333,119.375,125.81333333333333,128.42666666666668,153.3946666666667,66.29166666666667,1.0298070785162068
Snow and Sleet / Windy,3,440.22222222222223,126.43333333333334,545.6936995272198,123.9,1070.3333333333333,124.40666666666667,125.16666666666667,598.3833333333332,881.5533333333333,975.9433333333332,1051.455333333333,473.2166666666665,3.4818525353721768
Snow and Thunder,1,327.3666666666667,327.3666666666667,,327.3666666666667,327.3666666666667,327.3666666666667,327.3666666666667,327.3666666666667,327.3666666666667,327.3666666666667,327.3666666666667,0.0,1.0
Squalls,1,44.78333333333333,44.78333333333333,,44.78333333333333,44.78333333333333,44.78333333333333,44.78333333333333,44.78333333333333,44.78333333333333,44.78333333333333,44.78333333333333,0.0,1.0
Squalls / Windy,2,103.025,103.025,12.10331107130974,94.46666666666667,111.58333333333333,96.17833333333334,98.74583333333334,107.30416666666666,109.87166666666667,110.72749999999999,111.41216666666666,8.558333333333323,1.0
T-Storm,911,673.3853457738747,76.1,17414.509380516378,6.5,525705.0,29.4,44.61666666666667,120.30833333333334,162.16666666666666,221.14999999999998,695.2649999999945,75.69166666666666,8.848690483230943
T-Storm / Windy,51,136.62712418300654,96.36666666666666,207.85672907506864,29.683333333333334,1503.8166666666666,49.63333333333333,62.65833333333333,129.13333333333333,192.0,252.64999999999998,976.7416666666666,66.475,1.4177840627776537
Thunder,800,763.2045833333334,78.28333333333333,18583.25444209997,12.516666666666667,525710.0,29.308333333333334,44.91666666666667,126.09166666666667,188.98333333333335,260.6499999999998,679.5154999999995,81.175,9.749260166063445
Thunder / Windy,34,88.31666666666668,75.95,73.35200898559098,13.0,351.46666666666664,27.990000000000002,30.458333333333332,121.55,172.50333333333333,202.78749999999988,314.6826666666668,91.09166666666667,1.1628264208909371
Thunder / Wintry Mix,2,201.96666666666667,201.96666666666667,199.4512527466855,60.93333333333333,343.0,89.14,131.45,272.48333333333335,314.79333333333335,328.89666666666665,340.1793333333333,141.03333333333336,1.0
Thunder and Hail,1,69.05,69.05,,69.05,69.05,69.05,69.05,69.05,69.05,69.05,69.05,0.0,1.0
Thunder in the Vicinity,1001,632.0724275724276,80.13333333333334,16613.28996087749,9.0,525705.0,29.416666666666668,47.2,126.86666666666666,168.23333333333332,225.0,752.95,79.66666666666666,7.887759079522806
Thunderstorm,289,98.73667820069204,40.13333333333333,125.2979988082911,28.316666666666666,372.0,29.4,29.683333333333334,59.78333333333333,360.0,360.0,360.0,30.099999999999998,2.460216234236513
Thunderstorms and Rain,145,103.34988505747127,44.5,129.3460537859664,28.65,360.0,29.52,29.683333333333334,59.9,360.0,360.0,360.0,30.216666666666665,2.322469327134186
Volcanic Ash,1,29.766666666666666,29.766666666666666,,29.766666666666666,29.766666666666666,29.766666666666666,29.766666666666666,29.766666666666666,29.766666666666666,29.766666666666666,29.766666666666666,0.0,1.0
Widespread Dust,11,181.19242424242427,44.61666666666667,171.24937167178103,29.633333333333333,360.0,29.65,29.71666666666667,360.0,360.0,360.0,360.0,330.2833333333333,4.061092810812647
Widespread Dust / Windy,2,53.25,53.25,19.445436482630058,39.5,67.0,42.25,46.375,60.125,64.25,65.625,66.725,13.75,1.0
Wintry Mix,635,1844.820524934383,99.03333333333333,29521.53228617067,10.5,527173.0,29.990000000000002,62.45,140.19166666666666,235.94,397.0349999999985,1637.6899999999978,77.74166666666666,18.628278609233085
Wintry Mix / Windy,10,82.85,67.83333333333333,70.94305010376063,8.5,248.6,13.9,38.00833333333333,110.80833333333334,142.42999999999995,195.51499999999987,237.983,72.80000000000001,1.2213759213759214
,9913,366.84860956992503,75.03333333333333,10800.867322018497,6.0,525705.0,29.5,31.983333333333334,128.83333333333334,340.4833333333337,360.0,713.0039999999967,96.85000000000001,4.88914184233574
