ID,Source,Severity,Start_Time,End_Time,Start_Lat,Start_Lng,Distance(mi),Description,Street,City,County,State,Timezone,Weather_Timestamp,Temperature(F),Humidity(%),Visibility(mi),Precipitation(in),Weather_Condition,Junction,Traffic_Signal,Sunrise_Sunset,Start_Time_parsed,End_Time_parsed,reported_duration_minutes,dataset_source,target_name,target_definition,duration_missing,duration_negative,duration_zero,duration_below_minimum,duration_requires_review,valid_initial_duration,event_year,event_month,event_day_of_week,event_hour,is_weekend,description_normalized,description_length,description_missing,duplicate_signature
A-3503382,Source1,3,2016-07-07 08:17:23,2016-07-07 14:17:23,34.33223,-83.80884,0.009,At Wiley Rd - Accident.,Clarks Bridge Rd,Gainesville,Hall,GA,US/Eastern,2016-07-07 07:53:00,73.0,87.0,10.0,,Clear,False,True,Day,2016-07-07 08:17:23,2016-07-07 14:17:23,360.0,US_Accidents,reported_event_duration,End_Time minus Start_Time,False,False,False,False,False,True,2016.0,7.0,3.0,8.0,False,at wiley rd - accident.,23,False,Source1|2016-07-07 08:17:23|2016-07-07 14:17:23|34.33223|-83.80884|Clarks Bridge Rd|at wiley rd - accident.
A-3503379,Source1,3,2016-07-07 08:17:23,2016-07-07 14:17:23,34.33223,-83.80884,0.0,At Wiley Rd - Accident.,Clarks Bridge Rd,Gainesville,Hall,GA,US/Eastern,2016-07-07 07:53:00,73.0,87.0,10.0,,Clear,False,True,Day,2016-07-07 08:17:23,2016-07-07 14:17:23,360.0,US_Accidents,reported_event_duration,End_Time minus Start_Time,False,False,False,False,False,True,2016.0,7.0,3.0,8.0,False,at wiley rd - accident.,23,False,Source1|2016-07-07 08:17:23|2016-07-07 14:17:23|34.33223|-83.80884|Clarks Bridge Rd|at wiley rd - accident.
A-3495708,Source1,2,2016-09-02 09:42:30,2016-09-02 15:42:30,34.030770000000004,-81.11925,0.0,At Rockland Rd - Accident., Bush River Rd,Columbia,Richland,SC,US/Eastern,2016-09-02 09:56:00,73.9,91.0,2.0,0.29,Heavy Rain,False,False,Day,2016-09-02 09:42:30,2016-09-02 15:42:30,360.0,US_Accidents,reported_event_duration,End_Time minus Start_Time,False,False,False,False,False,True,2016.0,9.0,4.0,9.0,False,at rockland rd - accident.,26,False,Source1|2016-09-02 09:42:30|2016-09-02 15:42:30|34.030770000000004|-81.11925| Bush River Rd|at rockland rd - accident.
A-3495710,Source1,2,2016-09-02 09:42:30,2016-09-02 15:42:30,34.030770000000004,-81.11925,0.0,At Rockland Rd - Accident., Bush River Rd,Columbia,Richland,SC,US/Eastern,2016-09-02 09:56:00,73.9,91.0,2.0,0.29,Heavy Rain,False,False,Day,2016-09-02 09:42:30,2016-09-02 15:42:30,360.0,US_Accidents,reported_event_duration,End_Time minus Start_Time,False,False,False,False,False,True,2016.0,9.0,4.0,9.0,False,at rockland rd - accident.,26,False,Source1|2016-09-02 09:42:30|2016-09-02 15:42:30|34.030770000000004|-81.11925| Bush River Rd|at rockland rd - accident.
A-3434411,Source1,2,2016-09-13 11:46:24,2016-09-13 17:46:24,29.64212,-95.36824,0.0,At outh Acres Dr - Accident., Scott St,Houston,Harris,TX,US/Central,2016-09-13 11:55:00,89.6,59.0,10.0,,Clear,False,False,Day,2016-09-13 11:46:24,2016-09-13 17:46:24,360.0,US_Accidents,reported_event_duration,End_Time minus Start_Time,False,False,False,False,False,True,2016.0,9.0,1.0,11.0,False,at outh acres dr - accident.,28,False,Source1|2016-09-13 11:46:24|2016-09-13 17:46:24|29.64212|-95.36824| Scott St|at outh acres dr - accident.
A-3434410,Source1,2,2016-09-13 11:46:24,2016-09-13 17:46:24,29.64212,-95.36824,0.0,At outh Acres Dr - Accident., Scott St,Houston,Harris,TX,US/Central,2016-09-13 11:55:00,89.6,59.0,10.0,,Clear,False,False,Day,2016-09-13 11:46:24,2016-09-13 17:46:24,360.0,US_Accidents,reported_event_duration,End_Time minus Start_Time,False,False,False,False,False,True,2016.0,9.0,1.0,11.0,False,at outh acres dr - accident.,28,False,Source1|2016-09-13 11:46:24|2016-09-13 17:46:24|29.64212|-95.36824| Scott St|at outh acres dr - accident.
A-3437633,Source1,2,2016-10-20 07:31:24,2016-10-20 13:31:24,30.11278,-97.78523,0.0,At Bradshaw Rd - Accident., FM 1327,Buda,Travis,TX,US/Central,2016-10-20 07:53:00,69.1,96.0,8.0,,Patches of Fog,False,False,Night,2016-10-20 07:31:24,2016-10-20 13:31:24,360.0,US_Accidents,reported_event_duration,End_Time minus Start_Time,False,False,False,False,False,True,2016.0,10.0,3.0,7.0,False,at bradshaw rd - accident.,26,False,Source1|2016-10-20 07:31:24|2016-10-20 13:31:24|30.11278|-97.78523| FM 1327|at bradshaw rd - accident.
A-3437635,Source1,2,2016-10-20 07:31:24,2016-10-20 13:31:24,30.11278,-97.78523,0.0,At Bradshaw Rd - Accident., FM 1327,Buda,Travis,TX,US/Central,2016-10-20 07:53:00,69.1,96.0,8.0,,Patches of Fog,False,False,Night,2016-10-20 07:31:24,2016-10-20 13:31:24,360.0,US_Accidents,reported_event_duration,End_Time minus Start_Time,False,False,False,False,False,True,2016.0,10.0,3.0,7.0,False,at bradshaw rd - accident.,26,False,Source1|2016-10-20 07:31:24|2016-10-20 13:31:24|30.11278|-97.78523| FM 1327|at bradshaw rd - accident.
A-3471868,Source1,2,2016-11-18 12:49:48,2016-11-18 18:49:48,43.08863,-73.82623000000002,0.0,At Locust Grove Rd - Accident., Route 9N,Saratoga Springs,Saratoga,NY,US/Eastern,2016-11-18 11:50:00,51.8,62.0,10.0,,Clear,False,True,Day,2016-11-18 12:49:48,2016-11-18 18:49:48,360.0,US_Accidents,reported_event_duration,End_Time minus Start_Time,False,False,False,False,False,True,2016.0,11.0,4.0,12.0,False,at locust grove rd - accident.,30,False,Source1|2016-11-18 12:49:48|2016-11-18 18:49:48|43.08863|-73.82623000000002| Route 9N|at locust grove rd - accident.
A-3471866,Source1,2,2016-11-18 12:49:48,2016-11-18 18:49:48,43.08863,-73.82623000000002,0.0,At Locust Grove Rd - Accident., Route 9N,Saratoga Springs,Saratoga,NY,US/Eastern,2016-11-18 11:50:00,51.8,62.0,10.0,,Clear,False,True,Day,2016-11-18 12:49:48,2016-11-18 18:49:48,360.0,US_Accidents,reported_event_duration,End_Time minus Start_Time,False,False,False,False,False,True,2016.0,11.0,4.0,12.0,False,at locust grove rd - accident.,30,False,Source1|2016-11-18 12:49:48|2016-11-18 18:49:48|43.08863|-73.82623000000002| Route 9N|at locust grove rd - accident.
