ID,Source,Severity,Start_Time_parsed,End_Time_parsed,reported_duration_minutes,Description,Street,City,County,State,event_year,split
A-5399002,Source1,2,2018-04-19 09:24:00,2022-07-20 10:49:45,2236405.75,NYSDOT - Region 10: Crash on NY 27 eastbound area of Exit 66 - North Shore Highway; CR 39; North Shore Road (Suffolk) left lane closed,Inlet Rd W,Southampton,Suffolk,NY,2018.0,train
A-5292352,Source1,2,2018-04-19 09:24:00,2022-07-20 09:34:38,2236330.6333333333,NYSDOT - Region 10: Crash on NY 27 eastbound area of Exit 66 - North Shore Highway; CR 39; North Shore Road (Suffolk) left lane closed,NY-27 E,Southampton,Suffolk,NY,2018.0,train
A-7277768,Source1,2,2020-02-27 11:06:26,2023-02-27 12:06:00,1578299.5666666667,At Wells Ave/Exit 14 - Accident.,I-80 E,Reno,Washoe,NV,2020.0,train
A-3520162,Source1,4,2016-05-05 14:47:55,2018-04-27 16:00:00,1039752.0833333334,Closed between Roanoke Ave and US-1-9-TRUCK/Tonnele Ave - Road closed due to accident. Roadwork.,US-9 N,Newark,Essex,NJ,2016.0,train
A-3825588,Source1,2,2020-10-13 19:19:34,2022-04-15 14:43:16,790283.7,A disabled vehicle is creating a hazard. Use caution., N Santiam Hwy,Detroit,Marion,OR,2020.0,train
A-3899728,Source1,2,2021-05-28 05:23:00,2022-10-16 10:53:36,728970.6,Construction on US-13 SB near SCHOOL LN Expect long delays.,N Dupont Hwy,New Castle,New Castle,DE,2021.0,validation
A-3572241,Source1,4,2016-01-14 20:18:33,2017-02-17 23:22:00,576183.45,Closed at Fullerton Ave - Road closed due to accident. Roadwork. Lane blocked.,US-22 E,Whitehall,Lehigh,PA,2016.0,train
A-4710354,Source1,2,2020-12-30 22:58:00,2022-01-30 00:54:42,568916.7,Construction on I-495 NB near YALE AVE Right lane blocked. Expect delays.,I-495,Wilmington,New Castle,DE,2020.0,train
A-3558690,Source1,4,2016-01-14 20:18:33,2017-01-30 13:25:19,549666.7666666667,Closed at Fullerton Ave - Road closed due to accident. Roadwork. Lane blocked.,US-22 E,Whitehall,Lehigh,PA,2016.0,train
A-6371292,Source1,2,2020-05-23 09:23:48,2021-06-01 10:45:00,538641.2,All Tribal lands and Bureau of Indian Affairs roads on the Warm Springs Reservation are. closed to non-tribal public. Local traffic only.,Warm Springs Hwy,Maupin,Wasco,OR,2020.0,train
A-4783324,Source1,2,2022-02-03 08:08:00,2023-02-04 10:21:00,527173.0,Incident on I-20 EB near COMMON ST Expect long delays.,I-20 E,Shreveport,Caddo,LA,2022.0,calibration
A-5582249,Source1,2,2021-11-27 15:52:00,2022-11-28 17:49:00,527157.0,Incident on I-20 WB near PINES RD Drive with caution.,I-20,Shreveport,Caddo,LA,2021.0,validation
A-6230031,Source1,2,2021-07-25 15:25:00,2022-07-26 17:15:00,527150.0,Incident on I-20 EB near TRAFFIC ST Expect long delays.,I-20 E,Shreveport,Caddo,LA,2021.0,validation
A-5562692,Source1,4,2021-05-15 03:24:30,2022-05-15 23:59:59,526835.4833333333,I-65 S is closed from Pennsylvania St/Exit 113 (I-65) to I-70/Exit 111 (I-65) due to accident.,I-65 S,Indianapolis,Marion,IN,2021.0,validation
A-6057612,Source1,2,2021-07-12 12:07:00,2022-07-12 15:07:00,525780.0,Construction on US-61 NB near SPRINGFIELD RD Road closed. Take alternate route., Scenic Hwy,Baton Rouge,East Baton Rouge,LA,2021.0,validation
A-5770467,Source1,2,2021-05-28 14:07:00,2022-05-28 16:24:00,525737.0,Construction on LA-3132 EB near LA-526 Road closed. Take alternate route.,Inner Loop Expy E,Shreveport,Caddo,LA,2021.0,validation
A-6334806,Source1,2,2021-12-06 14:33:00,2022-12-06 16:38:00,525725.0,Construction on I-110 SB near LA-67 Road closed. Take alternate route.,I-110 S,Baton Rouge,East Baton Rouge,LA,2021.0,validation
A-5969861,Source1,2,2021-12-23 09:30:59,2022-12-23 11:27:00,525716.0166666667,Incident on I-10 WB near FLORIDA BLVD EXIT Drive with caution.,I-10 W,Metairie,Jefferson,LA,2021.0,validation
A-6239748,Source1,2,2021-10-27 00:26:00,2022-10-27 02:18:00,525712.0,Construction on I-10 EB near CITY PARK LAKE Road closed. Take alternate route.,I-10 E,Baton Rouge,East Baton Rouge,LA,2021.0,validation
A-6242842,Source1,2,2021-03-17 19:10:00,2022-03-17 21:00:00,525710.0,Incident on I-10 EB near I-10 Expect long delays.,I-10,Baton Rouge,East Baton Rouge,LA,2021.0,validation
A-6374702,Source1,2,2021-02-21 19:09:00,2022-02-21 20:58:00,525709.0,Incident on I-10 WB near MISSISSIPPI RIVER Right lane blocked. Expect delays.,I-10 W,Baton Rouge,East Baton Rouge,LA,2021.0,validation
A-5712476,Source1,2,2021-07-07 11:43:00,2022-07-07 13:30:00,525707.0,Incident on LA-182 EB near BAYOU BLACK DR Right lane blocked. Expect delays., Barrow St,Houma,Terrebonne,LA,2021.0,validation
A-5975559,Source1,2,2021-11-02 17:28:00,2022-11-02 19:13:00,525705.0,Construction on I-10 EB near US-190 Road closed. Take alternate route.,I-10,Slidell,St Tammany,LA,2021.0,validation
A-6174084,Source1,2,2021-07-09 15:25:00,2022-07-09 17:10:00,525705.0,Incident on I-20 EB near HAMILTON RD Drive with caution.,I-20 E,Bossier City,Bossier,LA,2021.0,validation
A-5631920,Source1,2,2021-07-17 11:40:00,2022-07-17 13:25:00,525705.0,Incident on I-210 EB near D'LNDE BAYOU Right lane blocked. Expect delays.,I-210 E,Westlake,Calcasieu,LA,2021.0,validation
A-6371531,Source1,2,2021-02-11 07:40:00,2022-02-11 09:25:00,525705.0,Incident on LA-47 NB near MARINA RD Drive with caution.,Paris Rd N,New Orleans,Orleans,LA,2021.0,validation
A-5673666,Source1,2,2021-11-26 20:20:00,2022-11-26 22:05:00,525705.0,Construction on I-10 WB near ASCENSION ST JAMES PARISH LINE Road closed. Take alternate route.,I-10,Sorrento,Ascension,LA,2021.0,validation
A-6012685,Source1,4,2021-06-06 16:48:00,2022-06-06 18:33:00,525705.0,Construction on I-20 WB near FIFI BAYOU Road closed. Take alternate route.,I-20,Bossier City,Bossier,LA,2021.0,validation
A-5665631,Source1,2,2021-05-24 14:28:00,2022-05-24 16:13:00,525705.0,Construction on US-190 EB near LA-983 Road closed. Take alternate route.,Grand Bayou Rd,Port Allen,West Baton Rouge,LA,2021.0,validation
A-5661317,Source1,2,2021-12-01 16:36:00,2022-12-01 18:21:00,525705.0,Incident on US-71 SB near LA-1208-2 Right lane blocked. Expect delays.,MacArthur Dr,Alexandria,Rapides,LA,2021.0,validation
A-5755211,Source1,2,2021-05-07 18:41:00,2022-05-07 20:26:00,525705.0,Incident on US-90-BR EB near INTRACOASTAL WATERWAY Right lane blocked. Expect delays.,Farrington Dr,Marrero,Jefferson,LA,2021.0,validation
A-6355101,Source1,2,2021-01-22 06:00:00,2022-01-22 07:45:00,525705.0,Incident on I-10 WB near CANAL NO 17 Right lane blocked. Expect delays.,I-10 W,Saint Rose,St. Charles,LA,2021.0,validation
A-5597007,Source1,2,2021-05-28 23:05:00,2022-05-29 00:50:00,525705.0,Construction on I-10 WB near LA-395 Road closed. Take alternate route.,I-10 W,Roanoke,Jefferson Davis,LA,2021.0,validation
