event_year,Source,row_count,year_total,percentage_within_year
2016.0,Source1,8336,26663,31.26429884109065
2016.0,Source2,18233,26663,68.38315268349398
2016.0,Source3,94,26663,0.3525484754153696
2017.0,Source1,10964,46452,23.602858865065013
2017.0,Source2,35007,46452,75.36166365280289
2017.0,Source3,481,46452,1.0354774821320933
2018.0,Source1,10754,57578,18.67727256938414
2018.0,Source2,46089,57578,80.04619820070165
2018.0,Source3,735,57578,1.2765292299142033
2019.0,Source1,17011,61852,27.50274849641079
2019.0,Source2,43620,61852,70.52318437560629
2019.0,Source3,1221,61852,1.974067127982927
2020.0,Source1,44845,75019,59.77818952532024
2020.0,Source2,28770,75019,38.35028459456938
2020.0,Source3,1404,75019,1.871525880110372
2021.0,Source1,62602,91941,68.08931814968295
2021.0,Source2,28076,91941,30.536974799055915
2021.0,Source3,1263,91941,1.373707051261135
2022.0,Source1,66311,81695,81.1689821898525
2022.0,Source2,14249,81695,17.44170389864741
2022.0,Source3,1135,81695,1.3893139115000916
2023.0,Source1,10637,10637,100.0
