description_normalized,count
a crash has occurred causing no to minimum delays. use caution.,491
accident,279
an unconfirmed report of a crash has been received. use caution.,191
a crash has occurred use caution.,153
at i-15 - accident.,136
a crash has occurred with minimal delay to traffic. prepare to slow or move over for worker safety.,128
at i-5 - accident.,127
a disabled vehicle is creating a hazard causing no to minimum delays. use caution.,119
at i-405/san diego fwy - accident.,116
hazardous debris is causing no to minimum delays. use caution.,101
incident on i-95 sb near i-95 drive with caution.,99
at i-605 - accident.,91
at central ave - accident.,78
incident on i-95 nb near i-95 drive with caution.,75
at grand ave - accident.,72
an unconfirmed report of a disabled vehicle creating a hazard has been received. use caution.,67
a crash has occurred. prepare to slow or move over for worker safety.,65
incident on i-64 wb near i-64 drive with caution.,64
incident on i-81 nb near i-81 drive with caution.,60
incident on i-64 eb near i-64 drive with caution.,55
incident on i-66 eb near i-66 drive with caution.,54
incident on i-15 nb near i-15 drive with caution.,53
at i-710/long beach fwy - accident.,53
at i-405 - accident.,53
incident on i-81 sb near i-81 drive with caution.,52
an unconfirmed report of hazardous debris has been received. use caution.,51
at i-80 - accident.,51
at us-101 - accident.,49
at main st - accident.,49
at i-10/santa monica fwy - accident.,48
at ca-60/pomona fwy - accident.,48
at ca-99 - accident.,45
incident on i-95 near i-95 drive with caution.,44
at i-10 - accident.,44
at i-5/golden state fwy - accident.,43
at ca-91 - accident.,43
incident on i-90 eb near i-90 drive with caution.,43
hazardous tree or vegetation is causing no to minimum delays. use caution.,41
at grant line rd - accident.,40
at i-605/san gabriel river fwy - accident.,40
at us-101/ventura fwy - accident.,40
at i-85 - accident.,39
at ca-138 - accident.,38
at ca-90/imperial hwy - accident.,38
at i-5/santa ana fwy - accident.,37
incident on belt pkwy near belt pkwy drive with caution.,37
incident on i-87 sb near i-87 drive with caution.,37
slow traffic on fl-482 from jamaican ct to southwest orange due to accident.,36
incident on i-66 wb near i-66 drive with caution.,36
at ca-134/ventura fwy - accident.,36
incident on i-495 near i-495 drive with caution.,35
incident on i-80 wb near i-80 drive with caution.,35
at a st - accident.,34
at ca-57/orange fwy - accident.,34
at watt ave - accident.,33
incident on i-495 nb near i-495 drive with caution.,33
slow traffic on fl-482 from dr phillips blvd (w sand lake rd/fl-482) to i-4 (w sand lake rd/fl-482) due to accident.,33
stationary traffic on fl-482 - us-92 w - us-441 s - us-17 s from barber rd to skyview dr / summer day ln due to accident.,33
at ca-55/costa mesa fwy - accident.,33
accident on i-85 northbound at exit 54 pelham rd.,33
high water is causing no to minimum delays. use caution.,33
incident on i-15 sb near i-15 drive with caution.,32
at ca-60 - accident.,32
at washington st - accident.,32
a disabled vehicle is creating a hazard. use caution.,32
the road is closed.,32
at ca-42/firestone blvd - accident.,32
at university ave - accident.,32
at 104th ave/exit 221 - accident.,31
accident on i-85 southbound at exit 54 pelham rd.,31
at or-214/exit 271 - accident.,31
at alondra blvd - accident.,31
at i-10/san bernardino fwy - accident.,31
at rosecrans ave - accident.,31
at valley blvd - accident.,31
at brooklake rd/exit 263 - accident.,31
incident on ca-63 nb near visalia road closed. take alternate route.,30
at long beach blvd - accident.,30
at western ave - accident.,30
at ca-91/riverside fwy - accident.,30
at ca-91/artesia fwy - accident.,30
at crenshaw blvd - accident.,30
at la cadena dr/iowa ave - accident.,30
incident on southern state pkwy near southern state pkwy drive with caution.,29
a disabled vehicle is creating a hazard causing minimal delay to traffic. use caution.,29
slow traffic on fl-482 from dr phillips blvd to majorca pl due to accident.,29
incident on dc-295 near dc-295 drive with caution.,28
at bellflower blvd - accident.,28
slow traffic on fl-a1a from fl-856/192nd st/william lehman cswy (fl-a1a) to fl-826/ocean blvd/163rd st (fl-a1a) due to accident.,28
at washington blvd/slauson ave - accident.,27
at i-110 - accident.,27
incident on branch ave near branch ave drive with caution.,27
at i-210 - accident.,27
incident on fairfax county pky near fairfax county pky drive with caution.,27
slow traffic on va-147 from i-195/va-76 (w cary st/va-147) to s meadow st (w cary st/va-147) due to accident.,27
at powell st - accident.,26
at wilmington ave - accident.,26
incident on i-90 wb near i-90 drive with caution.,26
at irwindale ave - accident.,26
at florin rd - accident.,26
incident on harry byrd hwy near harry byrd hwy drive with caution.,26
incident on lee hwy near lee hwy drive with caution.,26
at hacienda blvd - accident.,26
stationary traffic on county hwy-913 - fl-973 - fl-972 from sw 88th ave to sw 21st st / sw 21st ter due to accident.,26
at lambert rd - accident.,25
at harbor blvd - accident.,25
slow traffic on fl-823 from fl-860/183rd st/miami gardens dr (fl-823) to 167th st (fl-823) due to accident.,25
at martin luther king blvd - accident.,25
incident on i-70 wb near i-70 drive with caution.,25
at exposition blvd - accident.,25
slow traffic on fl-986 from sw 74th pl to fl-821 n due to accident.,25
a crash has occurred use an alternate route.,25
at i-680 - accident.,25
at i-710/garfield ave - accident.,25
at arden way - accident.,24
at ut-48/7200/exit 297 - accident.,24
at ca-110/pasadena fwy - accident.,24
incident on george washington memorial pky near george washington memorial pky drive with caution.,24
at lloyd blvd/exit 1 - accident.,24
at i-95 - accident.,24
an animal has been struck and is creating a hazard. there should be no to minimum delay. to traffic. use caution.,24
at ut-209/9000/exit 295 - accident.,24
at ca-4 - accident.,24
at ca-163 - accident.,24
incident on va-28 near va-28 drive with caution.,23
at bailey rd - accident.,23
at telegraph rd - accident.,23
incident on i-395 nb near i-395 drive with caution.,23
at i-94 - accident.,23
at sepulveda blvd - accident.,23
incident on leesburg pike near leesburg pike drive with caution.,23
at madison ave - accident.,23
at ca-90/marina fwy/jefferson blvd - accident.,23
an unconfirmed report of animals on the roadway has been received. use caution.,22
slow traffic on fl-948 - fl-969 from nw 34th st to nw 74th ave due to accident.,22
at el camino ave - accident.,22
at ca-55 - accident.,22
at bradshaw rd - accident.,22
at skirball center dr/exit 61 - accident.,22
incident on i-495 sb near i-495 drive with caution.,22
at or-99e-br/salem pky/exit 260 - accident.,22
incident on henry hudson pkwy near henry hudson pkwy drive with caution.,22
at high st - accident.,22
slow traffic on us-90 e from toledano st (us-90) to us-90 bus (us-90) due to accident.,22
at i-105/century fwy/g anderson fwy - accident.,22
incident on ca-63 sb near ca-201 road closed. take alternate route.,22
slow traffic from fl-94/n kendall dr/sw 88th st (sw 117th ave) to miller rd/sw 56th st (sw 117th ave) due to accident.,22
