param,covariate,coef,exp(coef),se(coef),coef lower 95%,coef upper 95%,exp(coef) lower 95%,exp(coef) upper 95%,cmp to,z,p,-log2(p)
mu_,Distance(mi),0.08496984988624047,1.0886842422498186,0.006314002049010098,0.07259463327186857,0.09734506650061236,1.0752945599178576,1.1022406543315932,0.0,13.457368120360675,2.786662836318442e-41,134.72051343182133
mu_,Precipitation(in),0.1282683359286846,1.1368580216244766,0.2104683021923194,-0.28424195625555393,0.5407786281129231,0.7525845301403049,1.71734351367941,0.0,0.6094425364417916,0.5422311505696804,0.8830200981236231
mu_,Severity,-0.1186520754676532,0.8881167446173007,0.018874810794838118,-0.15564602484054374,-0.08165812609476267,0.8558620906782839,0.9215869713828944,0.0,-6.286265688030217,3.2519322187700884e-10,31.51798376177537
mu_,Start_Lat,0.002988955042620099,1.0029934264225515,0.00181226962790412,-0.0005630281583477812,0.006540938243587979,0.9994371303122632,1.0065623768976222,0.0,1.6492882717881274,0.0990885912272396,3.33513723052028
mu_,Start_Lng,-0.0015429736825733921,0.9984582160893116,0.0005195424944173988,-0.002561258260069596,-0.0005246891050771883,0.9974420189633323,0.9994754485201801,0.0,-2.969870028251764,0.0029792576883651625,8.390831370994661
mu_,Visibility(mi),0.003125785879787157,1.0031306762425518,0.003196393060912687,-0.0031390294000354525,0.009390601159609767,0.9968658922017207,1.0094348311951427,0.0,0.9779103571494524,0.32811866216539903,1.607710443585751
mu_,event_day_of_week,0.016855331788104413,1.0169981843735707,0.0050552166808072755,0.006947289159676039,0.026763374416532787,1.0069714775551584,1.0271247300174744,0.0,3.334245167392658,0.0008553123318014235,10.19126103878018
mu_,event_hour,-0.002500535262692661,0.9975025884713958,0.0016652807458286654,-0.0057644255486648446,0.0007633550232795231,0.9942521568742742,1.0007636464528753,0.0,-1.501569791734043,0.13320824977154802,2.9082446616077484
mu_,event_month,0.008086052055426639,1.008118832469491,0.0025232961731261765,0.003140482433771588,0.01303162167708169,1.0031454189150215,1.0131169033088538,0.0,3.2045592354735835,0.001352694525808114,9.529948207254181
mu_,event_year,0.0655106785382872,1.0677041387721478,0.005067777045407405,0.055578018047609874,0.07544333902896451,1.0571514907504995,1.0783621249418693,0.0,12.926906205878815,3.1733315230885156e-38,124.56726935590098
mu_,is_secondary_crash,0.1665291248501887,1.1811979375823742,0.04369649662800087,0.08088556520873108,0.2521726844916463,1.0842468139093757,1.2868182316517016,0.0,3.8110406485877464,0.0001383830075531346,12.819045578365941
mu_,Intercept,-128.1718289637569,2.166117173655899e-56,10.250328645951729,-148.2621039395215,-108.0815539879923,4.0793069349073875e-65,1.150210975755749e-47,0.0,-12.504167758013999,7.083780736748907e-36,116.7648918586972
sigma_,Intercept,-0.18193699210051043,0.8336538655399381,0.0078112960070208974,-0.1972468509468529,-0.16662713325416795,0.8209879466450052,0.8465151898633048,0.0,-23.291524471353156,5.4029184046933135e-120,396.1976324920497
