Feature,Expert0_Mean_Impact,Expert1_Mean_Impact,Expert2_Mean_Impact,Overall_Mean_Impact
emb_287,0.0003023962,0.00093080645,0.4035287,0.13492063
Distance(mi),0.04349028,0.11241386,0.005187733,0.05369729
emb_94,0.0011860805,0.00072095066,0.1261493,0.042685445
emb_337,0.002371846,0.0007725333,0.10400135,0.03571524
event_year,0.006383875,0.0673148,0.030899823,0.034866165
emb_141,0.0015030744,0.00016329528,0.090124376,0.030596914
emb_327,0.0038459816,0.002070934,0.07036643,0.025427781
Start_Lng,0.0008503892,0.014721362,0.0367098,0.017427184
emb_317,0.00027018777,0.0008205182,0.047377944,0.016156217
emb_22,0.00015130351,0.00053638953,0.047341295,0.016009662
emb_188,7.829923e-05,0.000101936115,0.041638542,0.013939593
emb_286,0.00026662016,0.00046217436,0.039943166,0.0135573195
emb_34,0.00040721844,0.00042752753,0.037124652,0.012653132
emb_149,0.00025218783,0.00041048625,0.03275461,0.011139095
emb_219,0.00040123533,0.00071163586,0.030143758,0.010418877
emb_223,0.0051689683,0.0008151401,0.024408229,0.010130779
emb_130,0.0005011312,0.00031965144,0.026414203,0.0090783285
emb_179,7.223948e-05,0.0005851858,0.025597261,0.008751563
event_day_of_week,0.00012773767,0.000113191716,0.024620201,0.008287043
emb_344,0.00022167787,2.9100745e-05,0.024291102,0.008180627
Precipitation(in),0.00063386426,0.012255037,0.0104967225,0.0077952086
emb_6,0.0001852806,9.943193e-05,0.02258975,0.0076248213
emb_119,0.00016977529,0.0007872782,0.018288722,0.0064152586
gate_q_text_len,0.00025996662,0.0011612604,0.017126042,0.006182423
emb_126,9.639244e-05,0.00022049551,0.017741553,0.0060194805
emb_78,0.00094620243,0.0011682945,0.015204653,0.0057730502
event_hour,0.00022247343,0.00026211026,0.016205708,0.0055634305
emb_308,7.193041e-05,0.0003548931,0.015549605,0.005325476
emb_1,0.00053105294,0.00013811346,0.014246868,0.0049720113
emb_366,0.00039849448,0.00011299557,0.013184024,0.0045651714
emb_300,0.004378163,0.0003471993,0.008238859,0.004321407
emb_60,0.000568966,0.00021723846,0.011989192,0.0042584655
Start_Lat,0.0007821077,0.0011660022,0.01025778,0.00406863
emb_97,0.00091542286,0.00017606464,0.010609778,0.0039004218
emb_279,0.00016627992,0.0002602923,0.011000402,0.0038089913
emb_140,0.0011139433,0.0022255823,0.007847157,0.0037288943
emb_79,0.009932456,0.0010916282,0.0,0.0036746946
emb_87,0.0015875327,0.0025008344,0.0066141677,0.003567512
emb_120,8.0522965e-05,0.005964764,0.0036560253,0.0032337708
emb_304,0.008622265,0.0003473392,0.0003228077,0.0030974708
emb_152,0.00029819948,0.0003827499,0.008609994,0.0030969812
emb_210,0.0003220613,0.00019564432,0.008751389,0.003089698
emb_330,0.00013356666,0.00034550735,0.008743707,0.0030742604
emb_69,0.0009608644,0.00018270561,0.008056533,0.0030667009
emb_230,0.00047645997,0.0009983558,0.007411923,0.0029622463
emb_205,0.00011806638,0.0001985817,0.008460713,0.002925787
emb_270,0.007923658,0.0008204784,0.0,0.002914712
emb_4,0.0005344252,0.0010270108,0.0071470807,0.002902839
emb_195,0.0057838513,0.0006971844,0.0022028673,0.0028946344
emb_254,0.0014524007,0.00017562865,0.0070368866,0.0028883053
emb_114,5.7491423e-05,0.00020494718,0.0077794814,0.00268064
emb_52,0.00020701872,0.00028227232,0.0074953916,0.002661561
emb_202,0.00027940294,0.007470843,0.00020349718,0.0026512474
emb_233,0.00019455192,0.0006036186,0.007079997,0.0026260559
emb_340,0.00014811133,0.00062542944,0.0062268525,0.0023334643
emb_16,0.0051564253,0.00063559087,0.00040469645,0.0020655708
emb_213,0.003736837,0.00028742652,0.002163634,0.0020626325
emb_61,0.00029976896,0.0004451447,0.005335527,0.0020268136
emb_302,0.0012315541,0.00032681526,0.0043637287,0.0019740327
emb_24,0.00060475897,0.0031732197,0.0020787339,0.0019522374
emb_356,0.0003460108,0.0046339617,0.0007627713,0.001914248
emb_28,0.00030435534,0.0008453216,0.004514531,0.0018880693
emb_320,0.00021721145,0.0005857065,0.0046567456,0.0018198878
emb_381,0.0012463978,0.0040112333,7.7634315e-05,0.0017784218
emb_131,0.00016915373,0.004881975,0.0002327626,0.0017612971
emb_148,0.00017866743,0.00051868276,0.0045857662,0.0017610388
emb_211,0.0003145732,0.0005596017,0.0043673376,0.0017471708
emb_36,0.0003400858,0.00062909274,0.004192658,0.001720612
emb_31,0.00019316252,0.00040628377,0.0043766787,0.0016587083
emb_169,0.0004780512,0.0036957795,0.0007514677,0.0016417662
emb_0,0.000259627,0.0019036824,0.0027190507,0.0016274533
emb_3,0.00041870668,0.00021183102,0.0039808727,0.0015371367
emb_137,0.00026399666,0.00022372756,0.004059186,0.0015156368
emb_365,0.0011558476,0.00044303783,0.0029478483,0.0015155779
emb_68,0.001189621,0.0032407367,0.0,0.001476786
emb_221,8.809333e-05,0.00023012754,0.004028409,0.0014488766
emb_209,0.0019303681,0.00025010033,0.002153246,0.0014445715
emb_234,5.4788317e-05,0.0003626742,0.0038947684,0.0014374102
emb_247,0.0020057247,0.00021717222,0.0020257917,0.0014162296
emb_323,0.00024961188,0.0002431637,0.0036216597,0.0013714783
emb_55,0.00019436293,0.0025151006,0.0013919778,0.0013671471
emb_110,0.00012546203,0.00043243286,0.0034292166,0.0013290372
emb_100,0.00021103222,9.972657e-05,0.0036240732,0.0013116106
emb_370,0.0003617034,0.0008596723,0.0026275394,0.0012829717
